,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,주소
1493,오아시스아트홀,1.0,120.0,오아시스아트홀,120,민간(대학로 외),2020.0,서울,강서구,"서울특별시 강서구 양천로73길 80 (염창동, 한강동아아파트)"
1494,오온,1.0,0.0,오온,0,기타(비공연장),0.0,서울,송파구,서울특별시 송파구 백제고분로7길 16-16(잠실동)
1496,오페라하우스 [신도림],1.0,73.0,지하소극장,73,공공(기타),2008.0,서울,구로구,서울특별시 구로구 새말로 107-32 (구로동)
1502,올래홀,1.0,175.0,올래홀,175,민간(대학로),2005.0,서울,종로구,서울특별시 종로구 대학로10길 24 (동숭동)
1503,올림픽공원,11.0,41356.0,"KSPO DOME(체조경기장)
SK핸드볼경기장(펜싱경기장)
올림픽홀
뮤즈라이브
우리금융아트홀(역도경기장)
K-아트홀
야외(88잔디마당)
야외(수변무대)
벨로드롬(경륜경기장)
평화광장
일대","15,000
5,003
2,432
237
1,184
500
10,000
1,000
6,000
0
0",공공(기타),1986.0,서울,송파구,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
1506,옵신 스페이스(구. 서촌공간 서로),1.0,70.0,옵신 스페이스(구. 서촌공간 서로),70,민간(대학로 외),2016.0,서울,종로구,서울특별시 종로구 필운대로7길 12 (옥인동)
1508,와팝홀(구 돔아트홀) (폐관),1.0,2055.0,와팝홀(구 돔아트홀) (폐관),2055,민간(대학로 외),2003.0,서울,광진구,서울특별시 광진구 능동로 216 (능동)
1513,요기가 널판,1.0,0.0,요기가 널판,0,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 연남로13길 9(연남동)
1515,용산아트홀,2.0,1091.0,"대극장 미르
소극장 가람","787
304",공공(문예회관),2010.0,서울,용산구,서울특별시 용산구 녹사평대로 150(이태원동 34-87)
1516,용산전자랜드,1.0,100.0,랜드홀,100,민간(대학로 외),0.0,서울,용산구,서울특별시 용산구 청파로 74(한강로3가)
1517,용산전쟁기념관,4.0,176.0,"평화의 광장
제3기획전시실
전쟁기념관 이병형홀(구. 문화극장)
평화홀(1층)","0
0
176
0",국립,1994.0,서울,용산구,서울특별시 용산구 이태원로 29 (용산동1가)
1530,우란2경,2.0,120.0,"우란2경
리허설룸","120
0",민간(대학로 외),2014.0,서울,성동구,서울특별시 성동구 연무장7길 11 (성수동2가)
1532,우리네 극장,1.0,100.0,우리네 극장,100,민간(대학로),2012.0,서울,종로구,서울특별시 종로구 동숭길 55 (동숭동) 5층
1533,우리소극장 [대학로],1.0,0.0,우리소극장 [대학로],0,민간(대학로),0.0,서울,종로구,서울특별시 종로구 이화장길 86-11(동숭동)
1535,우리열린극장,1.0,172.0,우리열린극장,172,민간(대학로 외),2007.0,서울,종로구,서울특별시 종로구 삼일대로 428 (낙원동)
